Relocated Date,Make,Color,Plate,State,Relocated From Address Number,Relocated From Street Direction,Relocated From Street Name,Relocated From Suffix,Relocated To Address Number,Relocated To Direction,Relocated To Street Name,Relocated To Suffix,Relocated Reason,Service Request Number
06/14/2015 03:50:00 PM,Lexus,White,LFMBRAK,Illinois,5934.0,S,COTTAGE GROVE,AVE,819,E,59TH,,Accident,15-02709831
06/14/2015 03:45:00 PM,Mazda,Black,K656271,Illinois,1661.0,W,NORTH,AVE,1659,W,NORTH AVENUE,,Accident,15-02710238
06/14/2015 03:30:00 PM,Ford,Red,Y827214,Illinois,1200.0,N,NB OUTER LAKE SHORE,DR,350,E,LOWER WACKER DRIVE,,Broken Down,15-02710063
06/14/2015 03:20:00 PM,Toyota,White,N102450,Illinois,5932.0,S,COTTAGE GROVE,AVE,5829,S,COTTAGE GROVE,,Accident,15-02709820
06/14/2015 12:50:00 PM,Toyota,Green,L840472,Illinois,300.0,S,LAKE SHORE,DR,300,E,LOWER WACKER,,Broken Down,15-02706321
06/14/2015 12:33:00 PM,Chevrolet,White,L607974,Illinois,341.0,N,LOCKWOOD,AVE,343,N,LOCKWOOD,,Accident,15-02705757
06/14/2015 09:43:00 AM,Chevrolet,Maroon,PALOMAA,Illinois,5555.0,W,GRAND,AVE,10300,S,DOTY RD. POUND 1 SOUTH,,Pound Transfer,15-02704247
06/14/2015 09:00:00 AM,Honda,White,E230751,Illinois,3109.0,N,LAWNDALE,AVE,350,E,WACKER,,Accident,15-02701524
06/14/2015 06:45:00 AM,Ford,Black,X822435,Illinois,31.0,W,RANDOLPH,ST,219,N,HALSTED,,Accident,15-02699395
06/14/2015 06:05:00 AM,Nissan,White,E365428,Illinois,628.0,N,LAKE SHORE,DR,350,E,LOWER WACKER,,Accident,15-02699048
06/14/2015 05:50:00 AM,Toyota,White,2448TX,Illinois,600.0,,LAKE SHORES,,345,E,LOWER WACKER,,Accident,15-02698987
06/14/2015 05:30:00 AM,Toyota,Red,213 TX,Illinois,600.0,N,LAKE SHORE,DR,350,E,WACKER,,Accident,15-02699074
06/14/2015 04:50:00 AM,Ford,White,V994738,Illinois,1600.0,N,NB OUTER LAKE SHORE,DR,350,E,LOWER WACKER,,Accident,15-02698782
06/14/2015 04:10:00 AM,Bmw,Black,G684151,Illinois,5632.0,S,SB OUTER LAKE SHORE,DR,350,E,LOWER WACKER,,Stalled,15-02698781
06/14/2015 04:05:00 AM,Ford,Black,Y853268,Illinois,1600.0,N,NB OUTER LAKE SHORE,DR,350,E,WACKER,,Accident,15-02698779
06/14/2015 03:30:00 AM,Mazda,Blue,E270194,Illinois,200.0,,SOUTH WATER,,345,E,LOWER WACKER,,Accident,15-02698657
06/14/2015 03:15:00 AM,Kia Motors Corp,Black,L706687,Illinois,1300.0,N,SB OUTER LAKE SHORE,DR,350,E,WACKER,,Broken Down,15-02698778
06/14/2015 02:55:00 AM,Honda,Black,S172446,Illinois,3200.0,N,SB OUTER LAKE SHORE,DR,350,E,WACKER,,Accident,15-02698777
06/14/2015 02:01:00 AM,Ford,Burgundy,5099TX,Illinois,1200.0,S,CANAL,ST,400,E,LOWER WACKER,,Accident,15-02698574
06/14/2015 01:40:00 AM,Bmw,Gray,JAZZIN7,Illinois,1200.0,S,CANAL,ST,1141,S,CANAL,,Accident,15-02698573
06/14/2015 01:35:00 AM,Range Rover Of North America,Gray,DL5160C,Illinois,5200.0,S,NB OUTER LAKE SHORE,DR,350,E,LOWER WACKER,,Stalled,15-02698780
06/14/2015 12:10:00 AM,Chevrolet,Silver,N145744,Illinois,6700.0,S,WESTERN,AVE,6706,S,WESTERN,,Accident,15-02698053
06/13/2015 11:30:00 PM,Volkswagen,Black,E464868,Illinois,1400.0,N,LAKE SHORE,DR,1200,N,LARABEE,,Accident,15-02678983
06/13/2015 08:42:00 PM,Chrysler,Gray,S629666,Illinois,6802.0,N,BELL,AVE,400,E,WACKER,,Accident,15-02696121
06/13/2015 08:40:00 PM,Nissan,Gray,GNB675,Texas,301.0,E,LOWER RANDOLPH,ST,350,E,LOWER WACKER ISLAND,,Broken Down,15-02695185
06/13/2015 06:00:00 PM,Toyota,Tan,A150021,Illinois,301.0,E,RANDOLPH,ST,400,E,LOWER WACKER,,Accident,15-02692918
06/13/2015 05:48:00 PM,Dodge,Blue,S250572,Illinois,150.0,N,COLUMBUS,DR,350,E,LOWER WACKER (ISLAND),,Accident,15-02692824
06/13/2015 05:30:00 PM,Ford,Gray,469BLU,Indiana,2400.0,N,NB OUTER LAKE SHORE,DR,350,E,LOWER WACKER (ISLAND),,Broken Down,15-02692813
06/13/2015 04:30:00 PM,Chevrolet,White,911TMJ,Kentucky,3100.0,E,KING DR,DR,350,E,LOWER WACKER,,Accident,15-02691121
06/13/2015 04:24:00 PM,General Motors Corp.,Gray,S138894,Illinois,100.0,E,LOWER WACKER,DR,350,E,LOWER WACKER (ISLAND),,Accident,15-02692807
06/13/2015 04:02:00 PM,Hyundai,Black,S991417,Illinois,402.0,E,31ST,ST,400,E,WACKER,,Accident,15-02691065
06/13/2015 03:22:00 PM,Cadillac,Black,DBX6141,Illinois,600.0,S,COLUMBUS,DR,350,E,LOWER WACKER,,Accident,15-02689355
06/13/2015 01:30:00 PM,Chevrolet,Black,S219978,Illinois,1000.0,N,NB OUTER LAKE SHORE,DR,350,E,LOWER WACKER,,Stalled,15-02687887
06/13/2015 12:35:00 PM,Nissan,Brown,E483654,Illinois,440.0,N,NB OUTER LAKE SHORE,DR,4800,N,MARINE DR,,Stalled,15-02686729
06/13/2015 10:25:00 AM,Ford,Silver,1277943 B,Illinois,1600.0,W,BLACKHAWK,ST,1349,N,CLEAVER,,Other,15-02684533
06/13/2015 10:15:00 AM,Jeep - Year Greater 1988,Maroon,L934069,Illinois,529.0,W,28TH,PL,520,W,28TH STREET,,Other,15-02684504
06/13/2015 09:50:00 AM,Mazda,Gray,5GFA79,Michigan,2900.0,N,LAKE SHORE,DR,350,E,WACKER,,Other,15-02683990
06/13/2015 09:45:00 AM,Volkswagen,Gray,V199894,Illinois,2901.0,N,LAKE SHORE,DR,350,E,LOWER WACKER,,Police,15-02684613
06/13/2015 09:25:00 AM,Chevrolet,Black,9386919,Illinois,1404.0,N,ASHLAND,AVE,1355,N,CLEAVER,,Other,15-02684392
06/13/2015 09:09:00 AM,Hyundai,Silver,P858420,Illinois,1402.0,N,ASHLAND,AVE,1325,N,CLEAVER,,Other,15-02684225
06/13/2015 09:05:00 AM,Pontiac,Black,2931343,Illinois,2900.0,N,SB OUTER LAKE SHORE,DR,350,E,LOWER WACKER,,Other,15-02683760
06/13/2015 09:00:00 AM,Toyota,Beige,NTW742Z,New Jersey,2901.0,N,LAKE SHORE,DR,350,E,LOWER WACKER,,Police,15-02684456
06/13/2015 08:55:00 AM,Nissan,Black,S978390,Illinois,1400.0,N,ASHLAND,AVE,1308,N,GREENVIEW,,Other,15-02684207
06/13/2015 08:26:00 AM,Chevrolet,Maroon,V172089,Illinois,4428.0,W,JACKSON,BLVD,4512,W,JACKSON,,Other,15-02682154
06/13/2015 08:25:00 AM,Volkswagen,Black,S960571,Illinois,2900.0,N,LAKE SHORE,DR,350,E,LOWER WACKER,,Police,15-02684372
06/13/2015 08:15:00 AM,Oldsmobile,Maroon,N489346,Illinois,4447.0,W,JACKSON,BLVD,4406,W,JACKSON,,Other,15-02682153
06/13/2015 08:08:00 AM,Ford,Gray,GAC7393,Ohio,4430.0,W,JACKSON,BLVD,4510,W,JACKSON,,Other,15-02682152
