Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
06/14/2015,ACUR,4D,,GRY,218S350,IL,701 N. Sacramento,(773) 265-7605,6820018
06/14/2015,BMW,4D,,GRY,H598303,IL,400 E. Lower Wacker,(312) 744-7550,928460
06/14/2015,BUIC,4D,,BLU,E363686,IL,400 E. Lower Wacker,(312) 744-7550,928430
06/14/2015,BUIC,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2766187
06/14/2015,BUIC,4T,,BLK,DBD8003,MI,701 N. Sacramento,(773) 265-7605,6820010
06/14/2015,BUIC,LL,,MAR,L688229,IL,701 N. Sacramento,(773) 265-7605,6820009
06/14/2015,CHEV,4D,IMP,GRY,S957448,IL,701 N. Sacramento,(773) 265-7605,6820016
06/14/2015,CHEV,4D,,BLK,N837167,IL,400 E. Lower Wacker,(312) 744-7550,928458
06/14/2015,CHEV,4D,,BLK,V613438,IL,10300 S. Doty,(773) 568-8495,2766177
06/14/2015,CHEV,4D,,TAN,V328317,IL,10300 S. Doty,(773) 568-8495,2766192
06/14/2015,CHEV,4D,,WHI,9809494,IL,10300 S. Doty,(773) 568-8495,2766204
06/14/2015,CHEV,4D,,SIL,E294669,IL,10300 S. Doty,(773) 568-8495,2766179
06/14/2015,CHEV,4D,,BLU,V135698,IL,10300 S. Doty,(773) 568-8495,2766180
06/14/2015,CHEV,4D,CAV,BLU,E379615,IL,10300 S. Doty,(773) 568-8495,2766201
06/14/2015,CHEV,VN,EXP,MAR,E700955,IL,701 N. Sacramento,(773) 265-7605,6820017
06/14/2015,CHEV,VN,AST,WHI,P354344,IL,701 N. Sacramento,(773) 265-7605,6820015
06/14/2015,CHRY,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,6820022
06/14/2015,CHRY,4D,,SIL,S875146,IL,10300 S. Doty,(773) 568-8495,2766189
06/14/2015,CHRY,VN,,GRN,E396085,IL,10300 S. Doty,(773) 568-8495,2766188
06/14/2015,DODG,2D,,,WSL463,IN,10300 S. Doty,(773) 568-8495,2766197
06/14/2015,DODG,LL,,TAN,V482119,IL,10300 S. Doty,(773) 568-8495,2766203
06/14/2015,DODG,PK,,SIL,1317060B,IL,10300 S. Doty,(773) 568-8495,2766206
06/14/2015,DODG,VN,,SIL,E694632,IL,701 N. Sacramento,(773) 265-7605,6820011
06/14/2015,FORD,2D,,BLK,S462113,IL,701 N. Sacramento,(773) 265-7605,6820012
06/14/2015,FORD,4D,TAU,BLU,S104195,IL,10300 S. Doty,(773) 568-8495,2766199
06/14/2015,FORD,4D,TAU,RED,Y749393,IL,10300 S. Doty,(773) 568-8495,2766202
06/14/2015,FORD,LL,,BLK,S925990,IL,701 N. Sacramento,(773) 265-7605,6820013
06/14/2015,FORD,,F25,GRN,181664EN,IL,701 N. Sacramento,(773) 265-7605,6820014
06/14/2015,FRHT,TR,,BLK,04AR9B,MO,10300 S. Doty,(773) 568-8495,2766198
06/14/2015,GMC,LL,,RED,612LYM,IN,701 N. Sacramento,(773) 265-7605,6820006
06/14/2015,GMC,VN,,GRY,235KFM,WI,701 N. Sacramento,(773) 265-7605,6820003
06/14/2015,HOND,4D,,PLE,,IL,701 N. Sacramento,(773) 265-7605,6820023
